単語,品詞
見つけ,動詞-一般
驚い,動詞-一般
うるさく,形容詞-一般
浴びせ,動詞-一般
無理,名詞-普通名詞-形状詞可能
笑おう,動詞-一般
残し,動詞-一般
挙げる,動詞-非自立可能
早い,形容詞-一般
ほう,名詞-普通名詞-一般
よかろう,形容詞-非自立可能
うれしい,形容詞-一般
綺麗,形状詞-一般
買っ,動詞-一般
さあ,感動詞-一般
あすだ,名詞-固有名詞-地名-一般
歩き,動詞-一般
祭壇,名詞-普通名詞-一般
飾り,動詞-一般
席,名詞-普通名詞-一般
調え,動詞-一般
間,名詞-普通名詞-助数詞可能
床,名詞-普通名詞-一般
倒れ伏し,動詞-一般
深い,形容詞-一般
眠り,名詞-普通名詞-一般
起き,動詞-一般
訪れ,動詞-一般
頼ん,動詞-一般
驚き,動詞-一般
いけ,動詞-非自立可能
こちら,代名詞
未だ,副詞
葡萄,名詞-普通名詞-一般
季節,名詞-普通名詞-一般
待つ,動詞-一般
給え,動詞-非自立可能
更に,副詞
押し,動詞-一般
たのん,動詞-一般
頑強,形状詞-一般
なかなか,副詞
承諾,名詞-普通名詞-サ変可能
夜明け,名詞-普通名詞-一般
議論,名詞-普通名詞-サ変可能
やっと,副詞
なだめ,動詞-一般
すかし,動詞-一般
説き伏せ,動詞-一般
行わ,動詞-一般
新郎,名詞-普通名詞-一般
新婦,名詞-普通名詞-一般
宣誓,名詞-普通名詞-サ変可能
済ん,動詞-一般
ころ,名詞-普通名詞-副詞可能
黒雲,名詞-普通名詞-一般
空,名詞-普通名詞-一般
覆い,動詞-一般
ぽつりぽつり,副詞
降り,動詞-一般
車軸,名詞-普通名詞-一般
流す,動詞-一般
大雨,名詞-普通名詞-一般
列席,名詞-普通名詞-サ変可能
めいめい,名詞-普通名詞-一般
引きたて,動詞-一般
狭い,形容詞-一般
むんむん,副詞
蒸し暑い,形容詞-一般
怺え,動詞-一般
陽気,形状詞-一般
うたい,動詞-一般
拍っ,動詞-一般
満面,名詞-普通名詞-一般
喜色,名詞-普通名詞-一般
湛え,動詞-一般
入っ,動詞-一般
乱れ,動詞-一般
華やか,形状詞-一般
人々,名詞-普通名詞-一般
外,名詞-普通名詞-一般
全く,副詞
一生,名詞-普通名詞-副詞可能
生涯,名詞-普通名詞-副詞可能
願っ,動詞-非自立可能
鞭打ち,動詞-一般
分,接尾辞-名詞的-サ変可能
一眠り,名詞-普通名詞-サ変可能
しよう,動詞-非自立可能
いよう,動詞-非自立可能
永く,形容詞-一般
愚図愚図,副詞
とどまっ,動詞-一般
たかっ,助動詞
呆然,形状詞-タリ
歓喜,名詞-普通名詞-サ変可能
酔っ,動詞-一般
近寄り,動詞-一般
めでとう,形容詞-一般
ご免,名詞-普通名詞-一般
こうむっ,動詞-一般
眠り,動詞-一般
出かける,動詞-一般
大切,形状詞-一般
優しい,形容詞-一般
きらい,名詞-普通名詞-形状詞可能
つく,動詞-一般
知っ,動詞-一般
ね,助詞-終助詞
秘密,名詞-普通名詞-形状詞可能
作っ,動詞-一般
たぶん,副詞
偉い,形容詞-一般
誇り,名詞-普通名詞-一般
いろ,動詞-非自立可能
夢見,名詞-普通名詞-一般
心地,名詞-普通名詞-一般
首肯い,動詞-一般
肩,名詞-普通名詞-一般
たたい,動詞-一般
互,名詞-普通名詞-一般
いっ,動詞-一般
あげよう,動詞-非自立可能
弟,名詞-普通名詞-一般
誇っ,動詞-一般
揉み手,名詞-普通名詞-サ変可能
てれ,動詞-一般
会釈,名詞-普通名詞-サ変可能
立ち去り,動詞-一般
小屋,名詞-普通名詞-一般
もぐり込ん,動詞-一般
深く,形容詞-一般
眠っ,動詞-一般
薄明,名詞-普通名詞-一般
跳ね起き,動詞-一般
南無三,感動詞-一般
寝過し,動詞-一般
まだまだ,副詞
刻限,名詞-普通名詞-一般
分間,名詞-普通名詞-助数詞可能
合う,動詞-非自立可能
是非,副詞
存する,動詞-一般
上っ,動詞-一般
悠々,形状詞-タリ
いくぶん,名詞-普通名詞-副詞可能
ぶるん,副詞
両腕,名詞-普通名詞-一般
雨中,名詞-普通名詞-副詞可能
矢,名詞-普通名詞-一般
走り出,動詞-一般
奸佞,名詞-普通名詞-形状詞可能
打ち破る,動詞-一般
走ら,動詞-一般
守れ,動詞-一般
さらば,感動詞-一般
ふるさと,名詞-普通名詞-一般
つらかっ,形容詞-一般
立ちどまり,動詞-一般
そう,形状詞-助動詞語幹
叱り,動詞-一般
横切り,動詞-一般
森,名詞-普通名詞-一般
くぐり抜け,動詞-一般
隣村,名詞-普通名詞-一般
着い,動詞-一般
止み,動詞-一般
暑く,形容詞-一般
額,名詞-普通名詞-一般
汗,名詞-普通名詞-一般
こぶし,名詞-普通名詞-一般
払い,動詞-一般
来れ,動詞-非自立可能
故郷,名詞-普通名詞-一般
気がかり,形状詞-一般
まっすぐ,形状詞-一般
行き着け,動詞-一般
急ぐ,動詞-一般
必要,名詞-普通名詞-形状詞可能
ゆっくり,副詞
歩こう,動詞-一般
持ちまえ,名詞-普通名詞-一般
呑気,形状詞-一般
さ,接尾辞-名詞的-一般
取り返し,動詞-一般
好き,形状詞-一般
小歌,名詞-普通名詞-一般
歌い出し,動詞-一般
行き,接尾辞-名詞的-一般
里程,名詞-普通名詞-一般
半ば,名詞-普通名詞-副詞可能
到達,名詞-普通名詞-サ変可能
降っ,動詞-一般
湧い,動詞-一般
災難,名詞-普通名詞-一般
足,名詞-普通名詞-一般
はたと,副詞
とまっ,動詞-一般
見よ,動詞-非自立可能
前方,名詞-普通名詞-一般
川,名詞-普通名詞-一般
きのう,名詞-普通名詞-副詞可能
山,名詞-普通名詞-一般
水源,名詞-普通名詞-一般
地,名詞-普通名詞-一般
氾濫,名詞-普通名詞-サ変可能
滔々,形状詞-タリ
下流,名詞-普通名詞-一般
集り,動詞-一般
猛勢,名詞-普通名詞-サ変可能
一挙,名詞-普通名詞-一般
橋,名詞-普通名詞-一般
破壊,名詞-普通名詞-サ変可能
響き,名詞-普通名詞-一般
あげる,動詞-非自立可能
激流,名詞-普通名詞-一般
木葉,名詞-固有名詞-地名-一般
微塵,名詞-普通名詞-一般
橋桁,名詞-普通名詞-一般
跳ね飛ばし,動詞-一般
茫然,形状詞-タリ
立ちすくん,動詞-一般
あちこち,代名詞
眺めまわし,動詞-一般
限り,名詞-普通名詞-副詞可能
呼びたて,動詞-一般
み,動詞-非自立可能
繋舟,名詞-普通名詞-一般
残ら,動詞-一般
浚わ,動詞-一般
影,名詞-普通名詞-一般
渡,名詞-普通名詞-一般
守り,名詞-普通名詞-一般
見え,動詞-一般
ふくれ上り,動詞-一般
海,名詞-普通名詞-一般
川岸,名詞-普通名詞-一般
うずくまり,動詞-一般
男泣き,名詞-普通名詞-一般
哀願,名詞-普通名詞-サ変可能
鎮め,動詞-一般
刻々,副詞
過ぎ,動詞-非自立可能
しまわ,動詞-非自立可能
行き着く,動詞-一般
叫び,名詞-普通名詞-一般
せせら笑う,動詞-一般
ますます,副詞
激しく,形容詞-一般
躍り狂う,動詞-一般
呑み,動詞-一般
捲き,動詞-一般
煽り立て,動詞-一般
刻,名詞-普通名詞-一般
消え,動詞-一般
切る,動詞-非自立可能
あれ,動詞-非自立可能
偉大,形状詞-一般
発揮,名詞-普通名詞-サ変可能
見せる,動詞-非自立可能
ざんぶ,副詞
飛び込み,動詞-一般
百,名詞-数詞
匹,接尾辞-名詞的-助数詞
大蛇,名詞-普通名詞-一般
のた,副詞
打ち,動詞-一般
相手,名詞-普通名詞-一般
闘争,名詞-普通名詞-サ変可能
開始,名詞-普通名詞-サ変可能
満身,名詞-普通名詞-一般
こめ,動詞-一般
押し寄せ,動詞-一般
渦巻き,名詞-普通名詞-一般
引きずる,動詞-一般
これしき,名詞-普通名詞-一般
